Feedback_ID,Date,Quarter,Client_Company,Industry,Region,Project_Type,Project_Manager,Project_Duration_Months,Contract_Value_INR,Client_Feedback,Star_Rating,NPS_Score,NPS_Category,SLA_Breached,Contract_Renewal
FB10521,2023-08-08,Q3-2023,TeleConnect,Telecom,Mumbai,Cybersecurity Solutions,Priya Nair,27,330671023.0,The project was completed as per scope but there were notable delays. Technical quality was acceptable though not exceptional.,3,0,Detractor,No,No
FB10737,2022-08-06,Q3-2022,Prime Bank,Banking & Finance,Pune,AI/ML Implementation,Arjun Mehta,27,355684317.0,Very good project delivery with minor delays that were well communicated. The solution is working excellently and support is great.,4,1,Detractor,No,Yes
FB10740,2022-05-26,Q2-2022,National Bank,Banking & Finance,Chennai,AI/ML Implementation,Rahul Gupta,19,62836818.0,Good collaboration and project management. The solution delivered is robust and team provided excellent knowledge transfer.,4,2,Detractor,Yes,Yes
FB10660,2022-05-29,Q2-2022,AirExpress,Aviation,Chennai,Cloud Migration,Arjun Mehta,32,464266588.0,Very satisfied with the project outcome. The implementation was smooth and post deployment support has been responsive and helpful.,4,0,Detractor,No,Yes
FB10411,2022-06-14,Q2-2022,Global IT Corp,IT & Technology,Bangalore,IoT Solutions,Arjun Mehta,5,276328688.0,Project team was professional but delivery took longer than expected. End result is satisfactory though not particularly impressive.,3,7,Passive,No,No
FB10678,2023-07-27,Q3-2023,GlobalPhone,Telecom,Kolkata,Cybersecurity Solutions,Sneha Reddy,36,423804526.0,Impressed with the technical expertise. Some minor issues arose but were resolved promptly and professionally by the team.,4,6,Detractor,Yes,Yes
FB10626,2022-05-25,Q2-2022,Tech Solutions Ltd,IT & Technology,Bangalore,Digital Transformation,Priya Nair,29,88185172.0,Very good technical work and project management. A few schedule adjustments were needed but end result was to our satisfaction.,4,8,Passive,No,Yes
FB10513,2023-02-10,Q1-2023,Apollo Hospitals,Healthcare,Mumbai,Data Analytics Platform,Neha Joshi,18,9420279.0,Okay experience with this vendor. Performance has been average and they meet minimum commitments without going beyond contract.,3,9,Promoter,Yes,No
FB10859,2023-12-16,Q4-2023,Tech Solutions Ltd,IT & Technology,Kolkata,Cybersecurity Solutions,Arjun Mehta,29,108744453.0,Flawless implementation with outstanding post deployment support. The solution has delivered significant ROI within the first quarter.,5,8,Passive,No,Yes
FB10136,2022-08-06,Q3-2022,Global IT Corp,IT & Technology,Hyderabad,Digital Transformation,Neha Joshi,12,330084470.0,Deeply dissatisfied with every aspect of this engagement. This has been the worst technology investment our company has ever made.,1,3,Detractor,Yes,Yes
