Customer_ID,Date,Month,Quarter,Review_Text,Star_Rating,CSAT_Score,DSAT_Score,NPS_Score,NPS_Category,Department,Product_Name,Product_Category,Issue_Type,Region,Channel,Agent_Name,Resolution_Status,Resolution_Time_Hours,Follow_Up_Required,Repeat_Customer,Purchase_Value_INR,Escalated
CUST_10000,2023-10-09,October,Q4,Extremely disappointed. Product stopped working after just 2 days. No help from support.,5,1,0,0,Detractor,Returns & Refunds,Refrigerator,Electronics,None,Bangalore,Mobile App,Agent_Priya,Replacement Sent,95,No,Yes,133880.85,No
CUST_10001,2024-06-01,June,Q2,Average quality product. Setup was straightforward. Neither impressed nor disappointed.,1,0,1,6,Detractor,Product Quality,Tablet,Mobile & Accessories,Billing error,Chennai,Mobile App,Agent_Arjun,Closed - No Action,58,Yes,Yes,88595.22,No
CUST_10002,2023-12-11,December,Q4,Product stopped working after first use. Very bad quality control.,3,0,0,6,Detractor,Delivery & Shipping,Mobile Phone,Electronics,Rude staff,Pune,Email,Agent_Pooja,Escalated to Manager,104,Yes,No,6995.84,Yes
CUST_10003,2024-09-25,September,Q3,Loved the product completely. Worth every penny. Customer service was also excellent.,4,1,0,4,Detractor,Returns & Refunds,Air Conditioner,Computing,None,Delhi,Email,Agent_Sneha,Escalated to Manager,11,No,Yes,128370.0,Yes
CUST_10004,2023-06-16,June,Q2,Really impressed with quality and packaging. Customer care was helpful and polite.,5,1,0,8,Passive,Technical Support,Air Conditioner,Home Appliances,None,Chennai,Mobile App,Agent_Raj,Replacement Sent,120,Yes,Yes,102690.38,No
CUST_10005,2023-10-04,October,Q4,"Product does not work, support is unavailable, and refund is being delayed.",2,0,1,3,Detractor,Returns & Refunds,Camera,Audio & Video,Defective product,Hyderabad,Website,Agent_Rahul,Pending,104,Yes,No,47660.23,No
CUST_10006,2023-08-06,August,Q3,Satisfactory purchase. Product performs adequately though battery life could be improved.,5,1,0,9,Promoter,Sales,Smart Watch,Computing,None,Ahmedabad,Phone Call,Agent_Raj,Pending,32,No,First Time,111875.85,No
CUST_10007,2024-01-06,January,Q1,Nothing special about this product. Does what it says but lacks premium feel.,5,1,0,9,Promoter,Customer Support,Refrigerator,Electronics,None,Ahmedabad,Email,Agent_Rahul,Resolved,20,No,First Time,94303.18,No
CUST_10008,2024-04-24,April,Q2,Product is acceptable for everyday use. Not best quality but adequate for price paid.,4,1,0,1,Detractor,Payment & Billing,Camera,Mobile & Accessories,None,Mumbai,Mobile App,Agent_Priya,Replacement Sent,114,No,No,80777.06,No
CUST_10009,2023-01-04,January,Q1,Okay experience overall. Some minor issues at start but sorted out eventually.,4,1,0,2,Detractor,Customer Support,Washing Machine,Audio & Video,None,Delhi,Website,Agent_Raj,Replacement Sent,65,No,Yes,91541.05,No
